neighborhood,reviews,ratings,price,name,id,image,theme
Laikipia,5,3.0,30,Old Style 3 Beedroom Apartment,53,https://a0.muscache.com/im/pictures/miso/Hosting-606213417751506770/original/10d8b011-cdbe-4881-bf8b-8fdc0d3378e5.jpeg,Countryside
Nyeri,9,3.0,10,Guest House/ Hostel in Nyeri Town,54,https://a0.muscache.com/im/pictures/miso/Hosting-43553913/original/3a48029d-8cba-4af0-8a88-3e770b3fa370.jpeg?im_w=720,Green Cities
Kajiado,39,3.0,15,Quiet slopes of Ngong Hills,55,https://a0.muscache.com/im/pictures/6b3f31bc-5e0c-4c02-a4e3-d359e835bdb2.jpg?im_w=720,Countryside
Nairobi,0,2.0,15,Happy Days.,56,https://a0.muscache.com/im/pictures/94aed887-abed-48b7-b4a2-db0b9076ce53.jpg?im_w=720,City
Nairobi,51,2.0,11,Simple homely 1bedroom apartmen,57,https://a0.muscache.com/im/pictures/miso/Hosting-50128567/original/0f41419c-e552-4900-89d0-357cadddfbd9.jpeg?im_w=720,City
Nairobi,5,5.0,10,Peaceful Garden,58,https://a0.muscache.com/im/pictures/822ffaf0-8a1f-499a-bdf8-f81916665a1f.jpg?im_w=720,City
Nakuru,0,4.5,18,Outer toilet in the corridor,59,https://cf.bstatic.com/xdata/images/hotel/max1024x768/469302281.jpg?k=42283a42355b0a1c8d493dd91667b7c5de15c0e947e893fe9ce5b999e50154b0&o=&hp=1,City
Nairobi,36,4.5,25,Home away from home,60,https://miro.medium.com/v2/resize:fit:639/1*93h3X8T_pgKwhQ7LVgZBSQ.jpeg,City
Nairobi,3,4.0,20,"Serene, clean stylish home away from home.",61,https://taalamu.com/wp-content/uploads/2020/12/611-holiday-home-trianum-hospitality.jpg,City
Mombasa,0,4.0,15,Amazing apartment with a balcony,62,https://a0.muscache.com/im/pictures/735be12c-8453-4ef8-a4e8-67c195b6ddc5.jpg?im_w=720,Sandy Beaches
Nairobi,4,4.5,15,Friendly comfortable home,63,https://a0.muscache.com/im/pictures/miso/Hosting-32115720/original/96a8d322-f7a9-4bf5-a2eb-201f72ec3cc4.jpeg?im_w=720,City
Nairobi,3,3.0,30,A home away from home,64,https://cf.bstatic.com/xdata/images/hotel/max1024x768/406958931.jpg?k=8394aa6dcd60fbc2a985d1549f9685b61fd3f6a5be99b2a1092366a56244eabc&o=&hp=1,City
Nairobi,7,4.0,15,Super memories all the times,65,https://a0.muscache.com/im/pictures/012d4cca-4f45-451f-abba-44a77a4d07b8.jpg?im_w=720,City
Nairobi,0,3.0,20,15 minutes from JKIA Airport,66,https://coralpi.com/wp-content/uploads/2019/07/Garden-City-3-Bed-Duplex-3-835x467.jpg.webp,City
Kwale,1,4.0,10,Bunk bed top on the balcony,67,https://a0.muscache.com/im/pictures/76d631a1-8129-42bd-ab6f-19a3fe236c8d.jpg?im_w=720,Sandy Beaches
Kilifi,1,2.0,28,Bayern-Holiday-Resort,68,https://a0.muscache.com/im/pictures/3df7ba0a-d91f-4ab6-8cb4-4eab2cc579f1.jpg?im_w=720,Sandy Beaches
Nairobi,0,2.0,40,A loft apartment- Furnished,69,https://a0.muscache.com/im/pictures/76d631a1-8129-42bd-ab6f-19a3fe236c8d.jpg?im_w=720,City
Nairobi,9,2.0,25,Cozy room sharing in Hurlingham,70,https://a0.muscache.com/im/pictures/1c1a925b-f68d-4bac-b782-95ea91307b7b.jpg?im_w=720,City
Mombasa,6,5.0,10,Shared Beach House in Likoni,71,https://stavica.com/wp-content/uploads/2019/05/ghh-1200x675.jpg,Sandy Beaches
Nairobi,0,2.0,16,"Ada's Gem Langata,Peaceful Quiet Place Stay",72,https://a0.muscache.com/im/pictures/miso/Hosting-827836200973769125/original/732ff727-edb9-4a06-bb62-6d2390170d68.jpeg?im_w=720,City
Kilifi,2,5.0,18,Merry Crab Cove ~ Backpackers' Beach Banda: Bed 2,73,https://a0.muscache.com/im/pictures/miso/Hosting-606213417751506770/original/10d8b011-cdbe-4881-bf8b-8fdc0d3378e5.jpeg,Sandy Beaches
Nairobi,2,5.0,30,Room in a shared house - 2 beds,74,https://a0.muscache.com/im/pictures/miso/Hosting-43553913/original/3a48029d-8cba-4af0-8a88-3e770b3fa370.jpeg?im_w=720,City
Nairobi,8,5.0,28,Lovely cosy two bedroom apartment in karen,75,https://a0.muscache.com/im/pictures/6b3f31bc-5e0c-4c02-a4e3-d359e835bdb2.jpg?im_w=720,City
Nairobi,1,2.0,25,GARDEN OF EDEN GEUST HOUSE.,76,https://a0.muscache.com/im/pictures/94aed887-abed-48b7-b4a2-db0b9076ce53.jpg?im_w=720,City
Kakamega,8,5.0,15,Shitungu havens Kakamega,77,https://a0.muscache.com/im/pictures/miso/Hosting-50128567/original/0f41419c-e552-4900-89d0-357cadddfbd9.jpeg?im_w=720,Town
Homa Bay,0,5.0,20,Diakonia Resort,78,https://a0.muscache.com/im/pictures/822ffaf0-8a1f-499a-bdf8-f81916665a1f.jpg?im_w=720,Lakeside
Kilifi,0,5.0,18,Merry Crab Cove ~ Backpackers' Beach Banda: Bed 6,79,https://cf.bstatic.com/xdata/images/hotel/max1024x768/469302281.jpg?k=42283a42355b0a1c8d493dd91667b7c5de15c0e947e893fe9ce5b999e50154b0&o=&hp=1,Sandy Beaches
Nakuru,0,4.0,12,Haven of peace near Hyrax Hill museum,80,https://miro.medium.com/v2/resize:fit:639/1*93h3X8T_pgKwhQ7LVgZBSQ.jpeg,City
Nairobi,0,4.0,14,Shi's Place,81,https://taalamu.com/wp-content/uploads/2020/12/611-holiday-home-trianum-hospitality.jpg,City
Nairobi,8,4.0,18,"Two Person room, in Furnished home Langata",82,https://a0.muscache.com/im/pictures/735be12c-8453-4ef8-a4e8-67c195b6ddc5.jpg?im_w=720,City
Nairobi,8,4.0,26,A Serene affordable homestay,83,https://a0.muscache.com/im/pictures/miso/Hosting-32115720/original/96a8d322-f7a9-4bf5-a2eb-201f72ec3cc4.jpeg?im_w=720,City
Kisumu,6,3.0,30,Private home away from home,84,https://cf.bstatic.com/xdata/images/hotel/max1024x768/406958931.jpg?k=8394aa6dcd60fbc2a985d1549f9685b61fd3f6a5be99b2a1092366a56244eabc&o=&hp=1,Lakeside
Nairobi,0,2.0,22,Luxurious chambers,85,https://a0.muscache.com/im/pictures/012d4cca-4f45-451f-abba-44a77a4d07b8.jpg?im_w=720,City
Nairobi,5,4.0,20,3 Bedroom Apartment,86,https://coralpi.com/wp-content/uploads/2019/07/Garden-City-3-Bed-Duplex-3-835x467.jpg.webp,City
